antecedent,consequent,support,confidence,lift
bu=48.1 - 86.2 AND pcv=37.4 - 41.3,class=ckd,0.085,0.8947368421052632,1.3980263157894737
bu=48.1 - 86.2 AND rbcc=4.46 - 5.05,class=ckd,0.125,0.8928571428571428,1.3950892857142856
pcv=37.4 - 41.3 AND sod=133 - 138,class=ckd,0.125,0.8928571428571428,1.3950892857142856
bu=48.1 - 86.2 AND wbcc=7360 - 9740,class=ckd,0.12,0.8888888888888888,1.3888888888888888
bp (Diastolic)=1 AND hemo=11.3 - 12.6,class=ckd,0.115,0.8846153846153846,1.3822115384615383
rbcc=4.46 - 5.05 AND sod=133 - 138,class=ckd,0.21,0.875,1.3671875
bp (Diastolic)=1 AND pcv=37.4 - 41.3,class=ckd,0.13,0.8666666666666667,1.3541666666666667
hemo=11.3 - 12.6 AND htn=0,class=ckd,0.13,0.8666666666666667,1.3541666666666667
dm=0 AND hemo=11.3 - 12.6,class=ckd,0.125,0.8620689655172414,1.3469827586206897
rbcc=4.46 - 5.05 AND wbcc=7360 - 9740,class=ckd,0.28,0.8615384615384616,1.3461538461538463
bu=48.1 - 86.2 AND sod=133 - 138,class=ckd,0.155,0.8611111111111112,1.3454861111111112
sod=133 - 138 AND wbcc=7360 - 9740,class=ckd,0.185,0.8604651162790697,1.3444767441860463
age=59 - 66 AND wbcc=7360 - 9740,class=ckd,0.09,0.8571428571428571,1.3392857142857142
bu=< 48.1 AND hemo=11.3 - 12.6,class=ckd,0.11,0.8461538461538461,1.3221153846153846
